target_percentage,current_percentage,iteration,species,select_set,expand_set,envelope,fbindex_ux,fbindex_uy,fbindex_uz,fbindex_interaction,fbindex_result_num,fbindex_final_cost,fbindex_result
0.0001,0.0001008138072248,9000,hydrogen,"('ux',)",{'ux'},"{'ux': [0.0026027210784880196, 0.0026055061933951875]}",2.1376585960388184,0.0,0.0,0.0,0,2.1376585960388184,0.0
0.0001,0.0001007858622053,9000,hydrogen,"('ux',)",{'ux'},"{'ux': [0.004962671768238588, 0.004965803358750448]}",2.110135078430176,0.0,0.0,0.0,0,2.110135078430176,0.0
0.0001,0.0001007901614391,9000,hydrogen,"('ux',)",{'ux'},"{'ux': [0.0002969808622619008, 0.0002997236460290556]}",5.627186298370361,0.0,0.0,0.0,0,5.627186298370361,7307.0
0.0001,9.952188748021544e-05,9000,hydrogen,"('ux',)",{'ux'},"{'ux': [-0.00090977014673118, -0.0009069134533557601]}",4.784677743911743,0.0,0.0,0.0,0,4.784677743911743,7307.0
0.0001,0.0001009449338544,9000,hydrogen,"('ux',)",{'ux'},"{'ux': [0.0004746898298242844, 0.00047738447127824513]}",3.6713430881500244,0.0,0.0,0.0,0,3.6713430881500244,0.0
0.0001,0.0001005859478355,9000,hydrogen,"('ux', 'uy')","['ux', 'uy']","{'ux': [0.04866854046122986, 0.06098227556214703], 'uy': [-0.03533924927105664, -0.024720739916375207]}",1.5704810619354248,5.395324230194092,0.0,5.720875978469849,0,12.686681270599365,0.0
0.0001,0.0001008353033936,9000,hydrogen,"('ux', 'uy')","['ux', 'uy']","{'ux': [0.008884021175802718, 0.009299889703557333], 'uy': [0.001173799877671565, 0.0019742953742486226]}",2.4260692596435547,1.100985050201416,0.0,7.3909759521484375e-06,0,3.527061700820923,0.0
0.0001,0.0001008643232214,9000,hydrogen,"('ux', 'uy')","['uy', 'ux']","{'ux': [-0.002133918903627296, -0.0014353416472080089], 'uy': [0.0075771335257138256, 0.00792106709068996]}",6.749658584594727,0.9927005767822266,0.0,1.6889591217041016,0,9.431318283081055,0.0
0.0001,0.0001005257585629,9000,hydrogen,"('ux', 'uy')","['uy', 'ux']","{'ux': [0.011824907074292047, 0.012231274749088972], 'uy': [-0.0014764686683885167, -0.0001548174419648367]}",1.7474453449249268,3.4594545364379883,0.0,1.5107030868530273,0,6.717602968215942,0.0
0.0001,9.9016727513525e-05,9000,hydrogen,"('ux', 'uy')","['ux', 'uy']","{'ux': [0.006984175432670402, 0.007278734680914117], 'uy': [0.02632181070603009, 0.027115786324340314]}",2.0546700954437256,0.8643913269042969,0.0,5.9604644775390625e-06,0,2.9190673828125,0.0
0.0001,9.948211956794408e-05,9000,hydrogen,"('ux', 'uy')","['uy', 'ux']","{'ux': [0.004518642365085737, 0.0049142015349831], 'uy': [0.023341164083618218, 0.0237463270027953]}",2.0454978942871094,0.8967957496643066,0.0,1.1682510375976562e-05,0,2.942305326461792,0.0
0.0001,0.0001007493187184,9000,hydrogen,"('ux', 'uy')","['uy', 'ux']","{'ux': [-0.04103763117200421, -0.03528587840184032], 'uy': [-0.04422508945262112, -0.02801977157920773]}",2.7629282474517822,4.126451015472412,0.0,6.674635887145996,0,13.56401515007019,89118.0
0.0001,0.0001003785098067,9000,hydrogen,"('ux', 'uy')","['uy', 'ux']","{'ux': [0.010477875429680521, 0.010741702420121648], 'uy': [0.017873993857531124, 0.018605000156664882]}",2.318796157836914,0.9131317138671875,0.0,0.002862691879272461,0,3.234790563583374,0.0
0.0001,9.989162158349526e-05,9000,hydrogen,"('ux', 'uy')","['ux', 'uy']","{'ux': [0.01715431443402908, 0.018327752613682427], 'uy': [-0.015324156171925722, -0.01468563867851326]}",1.6882903575897217,2.5038719177246094,0.0,0.00015425682067871094,0,4.19231653213501,0.0
0.0001,9.993676353796548e-05,9000,hydrogen,"('ux', 'uy')","['uy', 'ux']","{'ux': [0.03465609636553437, 0.04472281250539615], 'uy': [-0.03171369821216902, -0.026937406432944514]}",1.6187376976013184,3.5624680519104004,0.0,2.8333895206451416,0,8.01459527015686,0.0
0.0001,0.0001008084331826,9000,hydrogen,"('ux', 'uy')","['uy', 'ux']","{'ux': [0.046637364827034414, 0.05920882168654555], 'uy': [0.00878599520005362, 0.020671664303665894]}",1.8808212280273438,0.8925645351409912,0.0,7.3909759521484375e-06,0,2.773393154144287,0.0
0.0001,9.953156075617335e-05,9000,hydrogen,"('ux', 'uy')","['uy', 'ux']","{'ux': [0.02182401330638944, 0.02279178567436718], 'uy': [-0.008155851856454252, -0.006933230537839027]}",1.6617019176483154,3.447354793548584,0.0,1.4103972911834717,0,6.519454002380371,0.0
0.0001,9.952726152241428e-05,9000,hydrogen,"('ux', 'uy')","['uy', 'ux']","{'ux': [0.020888912468416156, 0.025117535907202455], 'uy': [-0.05506988777894833, -0.0434646932921279]}",1.7558727264404297,1.6663925647735596,0.0,0.29932141304016113,0,3.7215867042541504,0.0
0.0001,9.984540482058527e-05,9000,hydrogen,"('ux', 'uy')","['uy', 'ux']","{'ux': [0.04279819058701789, 0.06471117180363546], 'uy': [-0.09968100782499777, -0.07156017329688237]}",1.6273751258850098,1.6481118202209473,0.0,0.13654685020446777,0,3.412033796310425,0.0
0.0001,9.913495644189936e-05,9000,hydrogen,"('ux', 'uy')","['ux', 'uy']","{'ux': [0.005243803830965649, 0.00572271985335154], 'uy': [-0.00541659630771866, -0.0048500694644372415]}",1.9717040061950684,2.6031601428985596,0.0,0.6751070022583008,0,5.249971151351929,0.0
