query_seq,target_percentage,select_set,test_type,test_name,index_type,storage,secondary,direct_block_read,read_groups,query_index_time_elapsed,remove_duplication_time_elapsed,sort_block_metadata_time_elapsed,find_optimal_read_solution_time_elapsed,generate_select_array_time_elapsed,get_target_data_time_elapsed,get_support_data_time_elapsed,data_calculation_time_elapsed,data_apply_select_time_elapsed,apply_particle_level_select_array_time_elapsed,total_time_elapsed,query_result_size,current_percentage,iteration,species,expand_set,envelope,data_size
92,0.01%,"('ux','uy')",3,GeoIndex,Rtree,File,None,True,False,0.021724939346313477,1.6689300537109375e-06,,,0.006887674331665039,82.3095030784607,11.590656280517578,19.71742534637451,5.030303716659546,0.6992583274841309,119.67370438575745,1551,0.0001,10000,hydrogen,"['uy','ux']","{'ux': [0.013201124255636118, 0.021055125358730595], 'uy': [-0.04920942211614042, -0.04138643096015586]}",1312182.0
92,0.01%,"('ux','uy')",4,GeoIndex,Min-Max,File,None,False,True,0.036561012268066406,0.003136157989501953,0.001119375228881836,0.02622365951538086,6.110700845718384,277.6112983226776,0.0,0.0,0.0,0.0,,1551,0.0001,10000,hydrogen,"['uy','ux']","{'ux': [0.013201124255636118, 0.021055125358730595], 'uy': [-0.04920942211614042, -0.04138643096015586]}",
92,0.01%,"('ux','uy')",5,GeoIndex,Rtree,File,None,False,True,0.02160191535949707,1.9073486328125e-06,0.0011212825775146484,0.026718854904174805,6.216899394989014,391.8316831588745,0.0,0.0,0.0,0.0,,1551,0.0001,10000,hydrogen,"['uy','ux']","{'ux': [0.013201124255636118, 0.021055125358730595], 'uy': [-0.04920942211614042, -0.04138643096015586]}",
93,0.01%,"('ux','uy')",2,GeoIndex,Min-Max,File,None,True,False,0.05625295639038086,0.0026397705078125,,,0.01503443717956543,190.7618384361267,29.922687768936157,112.18055391311646,16.08359956741333,1.6282153129577637,351.44588804244995,3681,0.0001,10000,hydrogen,"['ux','uy']","{'ux': [0.003529520984820212, 0.0037927459514080558], 'uy': [0.0011664350779541088, 0.001315423093942213]}",1315741.0
93,0.01%,"('ux','uy')",3,GeoIndex,Rtree,File,None,True,False,0.029960155487060547,1.430511474609375e-06,,,0.015249490737915039,191.5187702178955,29.863207817077637,108.5674238204956,15.872938394546509,1.6229894161224365,348.2761266231537,3681,0.0001,10000,hydrogen,"['ux','uy']","{'ux': [0.003529520984820212, 0.0037927459514080558], 'uy': [0.0011664350779541088, 0.001315423093942213]}",1315741.0
93,0.01%,"('ux','uy')",4,GeoIndex,Min-Max,File,None,False,True,0.05587363243103027,0.002685070037841797,0.0016543865203857422,0.0615534782409668,7.182785749435425,298.0111105442047,0.0,0.0,0.0,0.0,,3681,0.0001,10000,hydrogen,"['ux','uy']","{'ux': [0.003529520984820212, 0.0037927459514080558], 'uy': [0.0011664350779541088, 0.001315423093942213]}",
93,0.01%,"('ux','uy')",5,GeoIndex,Rtree,File,None,False,True,0.029628992080688477,1.9073486328125e-06,0.0016579627990722656,0.062157630920410156,7.253116846084595,294.51977038383484,0.0,0.0,0.0,0.0,,3681,0.0001,10000,hydrogen,"['ux','uy']","{'ux': [0.003529520984820212, 0.0037927459514080558], 'uy': [0.0011664350779541088, 0.001315423093942213]}",
94,0.01%,"('ux','uy')",2,GeoIndex,Min-Max,File,None,True,False,0.034368038177490234,0.002525806427001953,,,0.006177425384521484,75.34974455833435,9.638258934020996,17.291771173477173,4.730951309204102,0.6588840484619141,107.98152947425842,1397,9.9e-05,10000,hydrogen,"['uy','ux']","{'ux': [-0.03081255693114916, -0.023346021835604528], 'uy': [-0.06423059293335326, -0.04050958820608597]}",1304804.0
94,0.01%,"('ux','uy')",3,GeoIndex,Rtree,File,None,True,False,0.021138429641723633,1.9073486328125e-06,,,0.006206989288330078,74.41190528869629,8.974771738052368,17.835888385772705,4.318307638168335,0.6392815113067627,106.46766066551208,1397,9.9e-05,10000,hydrogen,"['uy','ux']","{'ux': [-0.03081255693114916, -0.023346021835604528], 'uy': [-0.06423059293335326, -0.04050958820608597]}",1304804.0
94,0.01%,"('ux','uy')",4,GeoIndex,Min-Max,File,None,False,True,0.03511357307434082,0.002573251724243164,0.0010919570922851562,0.023668766021728516,6.209907054901123,488.5621247291565,0.0,0.0,0.0,0.0,,1397,9.9e-05,10000,hydrogen,"['uy','ux']","{'ux': [-0.03081255693114916, -0.023346021835604528], 'uy': [-0.06423059293335326, -0.04050958820608597]}",
94,0.01%,"('ux','uy')",5,GeoIndex,Rtree,File,None,False,True,0.021155357360839844,1.6689300537109375e-06,0.0010595321655273438,0.02363872528076172,6.110773801803589,297.1332595348358,0.0,0.0,0.0,0.0,,1397,9.9e-05,10000,hydrogen,"['uy','ux']","{'ux': [-0.03081255693114916, -0.023346021835604528], 'uy': [-0.06423059293335326, -0.04050958820608597]}",
95,0.01%,"('ux','uy')",2,GeoIndex,Min-Max,File,None,True,False,0.05837059020996094,0.0033326148986816406,,,0.016478300094604492,228.82954740524292,33.7537682056427,191.89868068695068,28.144963026046753,2.250850200653076,485.9332194328308,4026,9.9e-05,10000,hydrogen,"['uy','ux']","{'ux': [-0.001184778918297164, -0.0010746647023989128], 'uy': [0.002493094529970594, 0.0026435374976170435]}",1305266.0
